"index","game_id","year","round","date","start_time","attendance","home_team_score","away_team_score","rain_fall","home_team_id","away_team_id","name","stadium_id"
0,"2021R101",2021,"R1","2021-03-18 00:00:00","19:25",49218,105,80,0,14,3,"M.C.G.",63
1,"2021R102",2021,"R1","2021-03-19 00:00:00","19:50",46051,53,69,0,4,18,"M.C.G.",63
2,"2021R103",2021,"R1","2021-03-20 00:00:00","13:45",21365,80,58,0,11,6,"M.C.G.",63
3,"2021R104",2021,"R1","2021-03-20 00:00:00","16:05",26985,103,91,0,1,8,"Adelaide Oval",47
4,"2021R105",2021,"R1","2021-03-20 00:00:00","19:25",25128,91,92,0,5,10,"Docklands",107
5,"2021R106",2021,"R1","2021-03-20 00:00:00","18:45",22762,94,125,20.8,2,16,"Gabba",56
6,"2021R107",2021,"R1","2021-03-21 00:00:00","13:10",13050,65,117,3.2,12,13,"Docklands",107
7,"2021R108",2021,"R1","2021-03-21 00:00:00","15:20",5014,78,86,114.4,9,15,"Sydney Showground",28
8,"2021R109",2021,"R1","2021-03-21 00:00:00","15:10",38493,83,58,0,17,7,"Perth Stadium",147
9,"2021R201",2021,"R2","2021-03-25 00:00:00","19:20",51723,85,106,3.8,3,4,"M.C.G.",63
10,"2021R202",2021,"R2","2021-03-26 00:00:00","19:50",20070,81,80,0.4,8,2,"Kardinia Park",154
11,"2021R203",2021,"R2","2021-03-27 00:00:00","13:45",23946,121,88,0,16,1,"S.C.G.",42
12,"2021R204",2021,"R2","2021-03-27 00:00:00","16:05",29978,119,65,3.8,13,5,"Adelaide Oval",47
13,"2021R205",2021,"R2","2021-03-27 00:00:00","19:25",25903,73,91,4.2,15,11,"Docklands",107
14,"2021R206",2021,"R2","2021-03-27 00:00:00","19:10",6661,98,39,0,7,12,"Carrara",80
15,"2021R207",2021,"R2","2021-03-28 00:00:00","13:10",41051,49,78,0.1,10,14,"M.C.G.",63
16,"2021R208",2021,"R2","2021-03-28 00:00:00","15:20",21391,100,93,0.1,18,17,"Docklands",107
17,"2021R209",2021,"R2","2021-03-28 00:00:00","15:10",27625,87,56,0,6,9,"Perth Stadium",147
18,"2021R301",2021,"R3","2021-04-01 00:00:00","19:40",28057,72,73,0,4,2,"Docklands",107
19,"2021R302",2021,"R3","2021-04-02 00:00:00","16:20",28483,39,167,0,12,18,"Docklands",107
20,"2021R303",2021,"R3","2021-04-02 00:00:00","19:20",30175,95,85,0,1,7,"Adelaide Oval",47
21,"2021R304",2021,"R3","2021-04-03 00:00:00","13:45",43637,72,117,0,14,16,"M.C.G.",63
22,"2021R305",2021,"R3","2021-04-03 00:00:00","16:35",29234,143,68,0,5,15,"Docklands",107
23,"2021R306",2021,"R3","2021-04-03 00:00:00","17:10",42090,108,71,0,17,13,"Perth Stadium",147
24,"2021R307",2021,"R3","2021-04-04 00:00:00","15:20",24551,109,64,0,3,6,"Docklands",107
25,"2021R308",2021,"R3","2021-04-04 00:00:00","18:10",9563,68,102,0,9,11,"Manuka Oval",4
26,"2021R309",2021,"R3","2021-04-05 00:00:00","15:20",50030,69,64,0,8,10,"M.C.G.",63
27,"2021R401",2021,"R4","2021-04-08 00:00:00","19:20",28039,83,80,34.6,16,5,"S.C.G.",42
28,"2021R402",2021,"R4","2021-04-09 00:00:00","19:20",33742,79,77,0.8,13,14,"Adelaide Oval",47
29,"2021R403",2021,"R4","2021-04-10 00:00:00","13:35",7387,73,54,0.6,18,2,"Eureka Stadium",46
30,"2021R404",2021,"R4","2021-04-10 00:00:00","16:35",16710,102,82,0.4,15,17,"Docklands",107
31,"2021R405",2021,"R4","2021-04-10 00:00:00","19:25",11618,59,70,0,7,3,"Carrara",80
32,"2021R406",2021,"R4","2021-04-10 00:00:00","19:25",29866,60,90,0.4,4,9,"M.C.G.",63
33,"2021R407",2021,"R4","2021-04-11 00:00:00","13:10",13479,68,109,4.2,12,1,"Docklands",107
34,"2021R408",2021,"R4","2021-04-11 00:00:00","15:20",33728,85,60,4.2,11,8,"M.C.G.",63
35,"2021R409",2021,"R4","2021-04-11 00:00:00","14:40",29490,96,81,4.4,6,10,"Perth Stadium",147
36,"2021R501",2021,"R5","2021-04-15 00:00:00","19:20",32056,48,134,0.1,15,14,"Docklands",107
37,"2021R502",2021,"R5","2021-04-16 00:00:00","18:10",54159,103,76,0,17,4,"Perth Stadium",147
38,"2021R503",2021,"R5","2021-04-17 00:00:00","16:35",18920,118,56,0,18,7,"Docklands",107
39,"2021R504",2021,"R5","2021-04-17 00:00:00","16:35",33541,69,71,0,16,9,"S.C.G.",42
40,"2021R505",2021,"R5","2021-04-17 00:00:00","19:25",32893,68,96,0,3,13,"M.C.G.",63
41,"2021R506",2021,"R5","2021-04-17 00:00:00","19:25",23544,102,45,0,2,5,"Gabba",56
42,"2021R507",2021,"R5","2021-04-18 00:00:00","12:40",31454,72,84,0,1,6,"Adelaide Oval",47
43,"2021R508",2021,"R5","2021-04-18 00:00:00","15:20",36337,54,104,0,10,11,"M.C.G.",63
44,"2021R509",2021,"R5","2021-04-18 00:00:00","16:40",21282,77,47,0,8,12,"Kardinia Park",154
45,"2021R601",2021,"R6","2021-04-23 00:00:00","19:50",10064,65,104,0,9,18,"Manuka Oval",4
46,"2021R602",2021,"R6","2021-04-24 00:00:00","13:45",21282,136,39,0,8,17,"Kardinia Park",154
47,"2021R603",2021,"R6","2021-04-24 00:00:00","13:45",9819,100,60,0,7,16,"Carrara",80
48,"2021R604",2021,"R6","2021-04-24 00:00:00","16:35",29576,85,103,0,3,2,"Docklands",107
49,"2021R605",2021,"R6","2021-04-24 00:00:00","19:25",56418,82,48,0,11,14,"M.C.G.",63
50,"2021R606",2021,"R6","2021-04-24 00:00:00","18:15",0,99,48,0,6,12,"Perth Stadium",147
51,"2021R607",2021,"R6","2021-04-25 00:00:00","12:30",9007,102,99,0,10,1,"York Park",163
52,"2021R608",2021,"R6","2021-04-25 00:00:00","15:20",78113,85,109,2.8,4,5,"M.C.G.",63
53,"2021R609",2021,"R6","2021-04-25 00:00:00","18:10",33125,93,39,0,13,15,"Adelaide Oval",47
54,"2021R701",2021,"R7","2021-04-30 00:00:00","19:50",52402,77,55,0,14,18,"M.C.G.",63
55,"2021R702",2021,"R7","2021-05-01 00:00:00","13:45",24397,55,79,0,4,7,"M.C.G.",63
56,"2021R703",2021,"R7","2021-05-01 00:00:00","13:40",28853,39,106,0,1,9,"Adelaide Oval",47
