city_id,city_name,state_name
1,Adelaide,South Australia
2,Albury,New South Wales
3,Queanbeyan,New South Wales
4,Melbourne,Victoria
5,Ballarat,Victoria
6,Sydney,New South Wales
7,Whyalla,South Australia
8,Mount Gambier,South Australia
9,Hobart,Tasmania
10,New Norfolk,Tasmania
11,Brisbane,Queensland
12,Coffs Harbour,New South Wales
13,Cairns,Queensland
14,Port Lincoln,South Australia
15,Nuriootpa,South Australia
16,Albany,Western Australia
17,Stawell,Victoria
18,Colac,Victoria
19,Perth,Western Australia
20,Shepparton,Victoria
21,Devonport,Tasmania
22,Penguin,Tasmania
23,Victor Harbor,South Australia
24,Griffith,New South Wales
25,Gold Coast,Queensland
26,Geelong,Victoria
27,Toowoomba,Queensland
28,Mackay,Queensland
29,Canberra,ACT
30,Bunbury,Western Australia
31,Shanghai,International
32,Kadina,South Australia
33,Glenorchy,Tasmania
34,Kingston,Tasmania
35,Mandurah,Western Australia
36,Latrobe,Tasmania
37,Sunshine Coast,Queensland
38,Port Pirie,South Australia
39,Mildura,Victoria
40,Burpengary,Queensland
41,Morwell,Victoria
42,Narrandera,New South Wales
43,Newcastle,New South Wales
44,Wangaratta,Victoria
45,Wollongong,New South Wales
46,Launceston,Tasmania
47,Lismore,New South Wales
48,Bendigo,Victoria
49,Renmark,South Australia
50,Townsville,Queensland
51,Wagga Wagga,New South Wales
52,Wellington,New Zealand
53,Mount Barker,Western Australia
54,Strathalbyn,South Australia
55,Moe,Victoria
56,Darwin,Northern Territory
57,Alice Springs,Northern Territory
58,Ulverstone,Tasmania
59,Burnie,Tasmania
60,Yea,Victoria
