year,round,date,start_time,attendance,home_team_score,away_team_score,rain_fall,home_team_id,away_team_id,name,stadium_id
2021,SF,2021-09-04,19:20,30647,78,79,2.2,2,18,Gabba,166
2021,SF,2021-09-03,17:50,44091,103,68,4.6,7,9,Perth Stadium,26
2021,R9,2021-05-16,14:40,43427,106,76,0.0,17,1,Perth Stadium,26
2021,R9,2021-05-16,15:20,38581,94,68,0.1,11,3,M.C.G.,24
2021,R9,2021-05-16,13:10,26357,68,61,0.1,5,6,Docklands,50
2021,R9,2021-05-15,19:10,32787,77,96,3.4,13,18,Adelaide Oval,27
2021,R9,2021-05-15,19:25,18798,87,83,8.4,14,9,Docklands,50
2021,R9,2021-05-15,16:35,12636,51,124,0.0,8,2,Carrara,67
2021,R9,2021-05-15,14:10,9121,80,87,0.0,10,12,York Park,152
2021,R9,2021-05-15,13:45,31448,72,42,0.0,16,4,S.C.G.,68
2021,R9,2021-05-14,19:50,26712,47,68,4.2,15,7,Docklands,50
2021,R8,2021-05-09,16:40,15403,95,71,0.0,2,6,Gabba,166
2021,R8,2021-05-09,15:20,27663,107,91,0.6,18,3,Docklands,50
2021,R8,2021-05-09,13:10,15277,60,98,0.6,10,17,M.C.G.,24
2021,R8,2021-05-08,19:10,43069,87,38,0.0,13,1,Adelaide Oval,27
2021,R8,2021-05-08,19:25,35567,67,58,0.0,11,16,M.C.G.,24
2021,R8,2021-05-08,16:35,22329,76,94,0.0,12,4,Docklands,50
2021,R8,2021-05-08,14:10,8526,107,105,1.4,9,5,Sydney Showground,73
2021,R8,2021-05-08,13:45,9271,54,63,0.0,8,15,Carrara,67
2021,R8,2021-05-07,19:50,54857,63,126,0.0,14,7,M.C.G.,24
2021,R7,2021-05-02,14:40,0,132,73,0.0,17,6,Perth Stadium,26
2021,R7,2021-05-02,15:20,57447,107,123,0.0,5,3,M.C.G.,24
2021,R7,2021-05-02,13:10,6009,73,103,,12,11,Bellerive Oval,44
2021,R7,2021-05-01,19:25,20007,93,44,6.2,2,13,Gabba,166
2021,R7,2021-05-01,19:25,29123,90,88,0.0,16,7,S.C.G.,68
2021,R7,2021-05-01,16:35,26433,128,59,0.0,15,10,Docklands,50
2021,R7,2021-05-01,13:40,28853,39,106,0.0,1,9,Adelaide Oval,27
2021,R7,2021-05-01,13:45,24397,55,79,0.0,4,8,M.C.G.,24
2021,R7,2021-04-30,19:50,52402,77,55,0.0,14,18,M.C.G.,24
2021,R6,2021-04-25,18:10,33125,93,39,0.0,13,15,Adelaide Oval,27
2021,R6,2021-04-25,15:20,78113,85,109,2.8,4,5,M.C.G.,24
2021,R6,2021-04-25,12:30,9007,102,99,0.0,10,1,York Park,152
2021,R6,2021-04-24,18:15,0,99,48,0.0,6,12,Perth Stadium,26
2021,R6,2021-04-24,19:25,56418,82,48,0.0,11,14,M.C.G.,24
2021,R6,2021-04-24,16:35,29576,85,103,0.0,3,2,Docklands,50
2021,R6,2021-04-24,13:45,9819,100,60,0.0,8,16,Carrara,67
2021,R6,2021-04-24,13:45,21282,136,39,0.0,7,17,Kardinia Park,160
2021,R6,2021-04-23,19:50,10064,65,104,0.0,9,18,Manuka Oval,167
2021,R5,2021-04-18,16:40,21282,77,47,0.0,7,12,Kardinia Park,160
2021,R5,2021-04-18,15:20,36337,54,104,0.0,10,11,M.C.G.,24
2021,R5,2021-04-18,12:40,31454,72,84,0.0,1,6,Adelaide Oval,27
2021,R5,2021-04-17,19:25,23544,102,45,0.0,2,5,Gabba,166
2021,R5,2021-04-17,19:25,32893,68,96,0.0,3,13,M.C.G.,24
2021,R5,2021-04-17,16:35,33541,69,71,0.0,16,9,S.C.G.,68
2021,R5,2021-04-17,16:35,18920,118,56,0.0,18,8,Docklands,50
2021,R5,2021-04-16,18:10,54159,103,76,0.0,17,4,Perth Stadium,26
2021,R5,2021-04-15,19:20,32056,48,134,0.1,15,14,Docklands,50
2021,R4,2021-04-11,14:40,29490,96,81,4.4,6,10,Perth Stadium,26
2021,R4,2021-04-11,15:20,33728,85,60,4.2,11,7,M.C.G.,24
2021,R4,2021-04-11,13:10,13479,68,109,4.2,12,1,Docklands,50
2021,R4,2021-04-10,19:25,29866,60,90,0.4,4,9,M.C.G.,24
2021,R4,2021-04-10,19:25,11618,59,70,0.0,8,3,Carrara,67
2021,R4,2021-04-10,16:35,16710,102,82,0.4,15,17,Docklands,50
2021,R4,2021-04-10,13:35,7387,73,54,0.6,18,2,Eureka Stadium,131
2021,R4,2021-04-09,19:20,33742,79,77,0.8,13,14,Adelaide Oval,27
2021,R4,2021-04-08,19:20,28039,83,80,34.6,16,5,S.C.G.,68
2021,R3,2021-04-05,15:20,50030,69,64,0.0,7,10,M.C.G.,24
2021,R3,2021-04-04,18:10,9563,68,102,0.0,9,11,Manuka Oval,167
2021,R3,2021-04-04,15:20,24551,109,64,0.0,3,6,Docklands,50
2021,R3,2021-04-03,17:10,42090,108,71,0.0,17,13,Perth Stadium,26
2021,R3,2021-04-03,16:35,29234,143,68,0.0,5,15,Docklands,50
2021,R3,2021-04-03,13:45,43637,72,117,0.0,14,16,M.C.G.,24
2021,R3,2021-04-02,19:20,30175,95,85,0.0,1,8,Adelaide Oval,27
2021,R3,2021-04-02,16:20,28483,39,167,0.0,12,18,Docklands,50
2021,R3,2021-04-01,19:40,28057,72,73,0.0,4,2,Docklands,50
2021,R23,2021-08-22,16:10,13103,98,54,0.0,1,12,Adelaide Oval,27
2021,R23,2021-08-22,15:20,0,102,64,0.0,5,4,M.C.G.,24
2021,R23,2021-08-22,12:15,3082,107,49,0.0,15,6,Bellerive Oval,44
2021,R23,2021-08-21,19:40,0,75,89,1.4,3,9,Docklands,50
2021,R23,2021-08-21,19:25,0,77,81,0.0,7,11,Kardinia Park,160
2021,R23,2021-08-21,16:35,21845,125,87,0.0,2,17,Gabba,166
2021,R23,2021-08-21,13:45,0,136,49,1.4,16,8,Docklands,50
2021,R23,2021-08-21,13:35,0,83,83,1.4,14,10,M.C.G.,24
2021,R23,2021-08-20,19:50,0,64,66,0.8,18,13,Docklands,50
2021,R22,2021-08-15,15:10,51692,79,64,0.0,6,17,Perth Stadium,26
2021,R22,2021-08-15,15:20,0,30,98,0.0,8,5,Kardinia Park,160
2021,R22,2021-08-15,14:10,0,104,63,0.0,11,1,M.C.G.,24
2021,R22,2021-08-14,19:40,0,77,91,4.0,12,16,Docklands,50
2021,R22,2021-08-14,19:25,15146,142,57,1.8,2,4,Gabba,166
2021,R22,2021-08-14,16:35,0,85,71,0.0,7,15,Kardinia Park,160
2021,R22,2021-08-14,16:05,13943,140,45,0.2,13,3,Adelaide Oval,27
2021,R22,2021-08-14,13:45,7822,64,37,0.0,10,18,York Park,152
2021,R22,2021-08-13,19:50,0,106,67,0.0,9,14,Docklands,50
2021,R21,2021-08-09,18:10,31584,63,72,5.2,17,11,Perth Stadium,26
2021,R21,2021-08-08,15:10,29589,54,118,3.8,6,2,Perth Stadium,26
2021,R21,2021-08-08,15:20,0,84,97,1.0,18,5,Docklands,50
2021,R21,2021-08-08,14:10,0,97,78,1.0,10,4,M.C.G.,24
2021,R21,2021-08-07,19:40,0,93,64,0.6,15,16,Docklands,50
2021,R21,2021-08-07,19:10,14736,51,55,1.4,1,13,Adelaide Oval,27
2021,R21,2021-08-07,16:35,0,89,56,0.6,14,12,M.C.G.,24
2021,R21,2021-08-07,13:45,0,57,76,0.6,3,8,Docklands,50
2021,R21,2021-08-06,19:50,0,65,84,0.2,7,9,Kardinia Park,160
2021,R2,2021-03-28,15:10,27625,87,56,0.0,6,9,Perth Stadium,26
2021,R2,2021-03-28,15:20,21391,100,93,0.1,18,17,Docklands,50
2021,R2,2021-03-28,13:10,41051,49,78,0.1,10,14,M.C.G.,24
2021,R2,2021-03-27,19:10,6661,98,39,0.0,8,12,Carrara,67
2021,R2,2021-03-27,19:25,25903,73,91,4.2,15,11,Docklands,50
2021,R2,2021-03-27,16:05,29978,119,65,3.8,13,5,Adelaide Oval,27
2021,R2,2021-03-27,13:45,23946,121,88,0.0,16,1,S.C.G.,68
2021,R2,2021-03-26,19:50,20070,81,80,0.4,7,2,Kardinia Park,160
2021,R2,2021-03-25,19:20,51723,85,106,3.8,3,4,M.C.G.,24
2021,R20,2021-08-01,18:10,0,73,100,19.2,9,13,Docklands,50
2021,R20,2021-08-01,15:10,24979,55,51,8.8,6,14,Perth Stadium,26
2021,R20,2021-08-01,15:10,0,102,109,19.2,5,16,M.C.G.,24
2021,R20,2021-08-01,14:10,5381,92,80,13.0,10,2,York Park,152
2021,R20,2021-08-01,12:10,0,30,128,19.2,8,11,Docklands,50
2021,R20,2021-07-31,16:15,0,90,45,0.0,4,17,M.C.G.,24
2021,R20,2021-07-31,13:15,8033,42,62,0.4,12,7,Bellerive Oval,44
2021,R20,2021-07-31,12:20,0,105,56,0.2,18,1,Eureka Stadium,131
2021,R20,2021-07-30,19:50,0,81,112,0.0,15,3,Docklands,50
2021,R19,2021-07-25,18:10,2681,53,66,0.0,5,9,Carrara,67
2021,R19,2021-07-25,15:20,0,95,57,0.0,7,14,M.C.G.,24
2021,R19,2021-07-25,12:30,2875,98,58,0.0,16,6,Carrara,67
2021,R19,2021-07-24,19:40,0,102,83,0.0,1,10,Docklands,50
2021,R19,2021-07-24,19:25,0,65,85,0.0,11,18,M.C.G.,24
2021,R19,2021-07-24,14:35,43657,94,86,2.0,17,15,Perth Stadium,26
2021,R19,2021-07-24,15:10,16660,120,71,4.2,2,8,Gabba,166
2021,R19,2021-07-24,13:45,0,77,116,0.0,3,12,Docklands,50
2021,R19,2021-07-23,19:10,0,97,69,0.0,13,4,Docklands,50
2021,R18,2021-07-18,18:10,2374,72,98,0.0,9,16,Carrara,67
2021,R18,2021-07-18,16:10,24554,56,98,0.8,1,17,Adelaide Oval,27
2021,R18,2021-07-18,15:20,0,62,91,4.4,4,3,M.C.G.,24
2021,R18,2021-07-18,12:35,5114,74,92,0.0,12,5,Carrara,67
2021,R18,2021-07-17,19:25,0,79,79,0.8,11,10,M.C.G.,24
2021,R18,2021-07-17,16:35,8244,79,90,0.4,8,18,Carrara,67
2021,R18,2021-07-17,13:45,0,61,74,0.8,15,13,Docklands,50
2021,R18,2021-07-16,20:05,4119,106,86,0.4,14,2,Carrara,67
2021,R18,2021-07-15,18:10,35271,31,100,2.0,6,7,Perth Stadium,26
2021,R17,2021-07-12,17:40,30515,60,70,9.6,17,12,Perth Stadium,26
2021,R17,2021-07-11,16:10,29437,71,87,0.0,14,4,M.C.G.,24
2021,R17,2021-07-11,15:20,24817,60,79,0.0,18,16,Docklands,50
2021,R17,2021-07-11,12:40,2952,64,65,0.2,9,8,Eureka Stadium,131
2021,R17,2021-07-10,19:25,9075,63,95,1.6,2,15,Carrara,67
2021,R17,2021-07-10,16:35,31834,44,70,0.0,3,7,M.C.G.,24
2021,R17,2021-07-10,13:45,9111,46,108,0.0,10,6,York Park,152
2021,R17,2021-07-09,19:50,23604,84,21,0.0,5,1,Docklands,50
2021,R17,2021-07-08,19:10,30908,55,86,0.0,13,11,Adelaide Oval,27
2021,R16,2021-07-04,16:40,18216,108,79,0.4,18,12,Docklands,50
2021,R16,2021-07-04,15:20,18082,61,70,0.4,4,15,M.C.G.,24
2021,R16,2021-07-04,13:10,9520,118,26,1.0,16,17,Kardinia Park,160
2021,R16,2021-07-03,19:40,18251,53,87,7.0,10,13,Docklands,50
2021,R16,2021-07-03,19:40,12103,64,80,7.0,6,3,M.C.G.,24
2021,R16,2021-07-03,16:05,16178,59,111,6.6,1,2,Adelaide Oval,27
2021,R16,2021-07-03,13:45,16963,55,64,7.0,11,9,M.C.G.,24
2021,R16,2021-07-02,19:50,15579,98,57,0.6,7,5,Kardinia Park,160
2021,R16,2021-07-01,19:20,9327,77,67,0.0,8,14,Docklands,50
2021,R15,2021-06-27,16:10,14930,83,73,0.2,3,1,Docklands,50
