game_id,year,player_id,rebound,inside_50s,clearance,contested_possessions,team_id,performance
2021R104,2021,2021661124,0,2,3,4,1,9
2021R203,2021,2021661124,0,0,2,5,1,7
2021R303,2021,2021661124,0,1,1,6,1,8
2021R407,2021,2021661124,2,2,0,3,1,7
2021R507,2021,2021661124,0,2,4,7,1,13
2021R607,2021,2012662083,2,1,0,1,1,4
2021R703,2021,2021661124,0,3,0,6,1,9
2021R806,2021,2021661124,0,2,1,6,1,9
2021R909,2021,2021661124,0,3,0,6,1,9
2021R1004,2021,2021661124,0,2,0,8,1,10
2021R1107,2021,2021661124,0,0,1,4,1,5
2021R1203,2021,2020665315,1,1,0,6,1,8
2021R1304,2021,2021661124,0,1,1,8,1,10
2021R1509,2021,2021661124,0,1,0,2,1,3
2021R1604,2021,2021661124,0,0,1,10,1,11
2021R1702,2021,2021661124,1,1,0,3,1,5
2021R1808,2021,2021661124,0,2,0,2,1,4
2021R1906,2021,2021661124,0,2,0,3,1,5
2021R2002,2021,2021661124,0,4,3,6,1,13
2021R2104,2021,2020665315,3,2,0,9,1,14
2021R2207,2021,2020665315,1,0,0,5,1,6
2021R2309,2021,2020665315,2,1,0,2,1,5
2021R106,2021,2016654616,1,2,0,8,2,11
2021R202,2021,2016654616,1,2,0,2,2,5
2021R301,2021,2016652575,3,0,0,6,2,9
2021R403,2021,2016652575,5,1,0,10,2,16
2021R506,2021,2016652575,3,4,0,8,2,15
2021R604,2021,2016652575,7,1,1,6,2,15
2021R706,2021,2016652575,3,1,0,5,2,9
2021R809,2021,2016652575,3,0,0,5,2,8
2021R904,2021,2016652575,3,1,0,8,2,12
2021R1001,2021,2016652575,3,1,0,6,2,10
2021R1103,2021,2016652575,1,0,0,8,2,9
2021R1201,2021,2016652575,4,0,0,5,2,9
2021R1403,2021,2016652575,4,2,0,8,2,14
2021R1501,2021,2016652575,3,1,0,5,2,9
2021R1705,2021,2016652575,5,2,0,6,2,13
2021R1802,2021,2015656514,3,0,0,7,2,10
2021R1903,2021,2016654616,0,0,0,4,2,4
2021R2006,2021,2016654616,1,1,1,4,2,7
2021R2108,2021,2016654616,0,3,1,5,2,9
2021R2205,2021,2016654616,1,3,1,9,2,14
2021R2304,2021,2016652575,4,2,0,5,2,11
2021QF02,2021,2016652575,1,1,0,3,2,5
2021SF02,2021,2016652575,3,2,0,0,2,5
2021R101,2021,2012674522,0,0,1,5,3,6
2021R201,2021,2012674522,0,3,1,2,3,6
2021R307,2021,2005667052,0,0,0,2,3,2
2021R405,2021,2005667052,0,1,0,5,3,6
2021R505,2021,2005667052,1,2,2,9,3,14
2021R708,2021,2005667052,0,3,1,5,3,9
2021R808,2021,2005667052,1,0,1,8,3,10
2021R908,2021,2005667052,0,1,1,4,3,6
2021R1002,2021,2005667052,1,3,1,5,3,10
2021R1108,2021,2005667052,1,1,1,6,3,9
2021R1205,2021,2005667052,0,1,0,5,3,6
2021R1404,2021,2005667052,1,2,0,2,3,5
2021R1605,2021,2005667052,0,1,3,5,3,9
2021R1704,2021,2005667052,0,4,0,4,3,8
2021R1807,2021,2005667052,0,0,0,5,3,5
2021R1902,2021,2005667052,0,0,0,2,3,2
2021R2001,2021,2014676336,2,3,6,15,3,26
2021R2102,2021,2005667052,0,2,0,2,3,4
2021R2203,2021,2005667052,0,1,0,3,3,4
2021R2306,2021,2005667052,0,0,0,3,3,3
2021R102,2021,2012656391,0,3,8,9,4,20
2021R406,2021,2012656391,1,2,5,5,4,13
2021R502,2021,2017661572,0,2,2,7,4,11
2021R608,2021,2017661572,0,0,0,5,4,5
2021R702,2021,2017661572,0,0,1,3,4,4
2021R804,2021,2017661572,0,0,0,2,4,2
2021R902,2021,2017661572,0,1,0,3,4,4
2021R1008,2021,2012656391,0,2,8,16,4,26
2021R1102,2021,2021663611,1,5,1,5,4,12
2021R1307,2021,2021663611,0,1,1,2,4,4
2021R1503,2021,2012656391,2,9,7,15,4,33
2021R1608,2021,2012656391,0,6,4,17,4,27
2021R1708,2021,2012656391,0,6,11,18,4,35
2021R1901,2021,2012656391,1,3,3,6,4,13
2021R2004,2021,2012656391,1,4,8,14,4,27
2021R2106,2021,2012656391,5,3,6,10,4,24
2021R2308,2021,2012656391,3,4,10,15,4,32
2021R105,2021,2020677029,4,1,0,5,5,10
2021R204,2021,2020677029,0,1,1,1,5,3
2021R305,2021,2021674111,1,2,2,5,5,10
2021R401,2021,2021674111,4,1,1,5,5,11
2021R803,2021,2021674111,1,0,0,2,5,3
2021R907,2021,2021674111,0,1,0,4,5,5
2021R1009,2021,2021674111,1,2,0,3,5,6
2021R1105,2021,2021674111,0,2,0,3,5,5
2021R1204,2021,2014655392,0,0,0,4,5,4
2021R1405,2021,2020677029,0,0,0,5,5,5
2021R1506,2021,2021674111,0,1,0,1,5,2
2021R1602,2021,2021674111,2,0,0,4,5,6
2021R1806,2021,2021674111,0,5,3,5,5,13
2021R1909,2021,2021674111,0,3,1,10,5,14
2021R2007,2021,2018673109,0,3,2,5,5,10
2021R2107,2021,2018673109,1,5,3,7,5,16
2021R2208,2021,2018673109,1,3,3,6,5,13
2021EF02,2021,2019677166,0,6,1,6,5,13
2021R103,2021,2014651814,2,2,1,3,6,8
2021R209,2021,2014651814,3,3,1,7,6,14
2021R409,2021,2014651814,3,5,2,5,6,15
2021R606,2021,2014651814,1,7,1,6,6,15
2021R709,2021,2014651814,3,3,1,10,6,17
2021R1006,2021,2014651814,3,1,1,6,6,11
2021R1109,2021,2014651814,0,4,1,6,6,11
2021R1206,2021,2014651814,2,3,3,10,6,18
2021R1303,2021,2014651814,1,3,4,8,6,16
2021R1703,2021,2014651814,4,3,0,4,6,11
2021R1801,2021,2014651814,0,1,1,4,6,6
2021R1907,2021,2014659159,2,1,0,2,6,5
2021R2008,2021,2014659159,4,3,5,7,6,19
2021R2209,2021,2014659159,4,1,3,5,6,13
2021R2307,2021,2014651814,1,6,2,6,6,15
2021R109,2021,2020653600,1,1,3,6,7,11
2021R206,2021,2017651121,1,2,1,5,7,9
2021R503,2021,2017651121,2,5,0,2,7,9
2021R603,2021,2017651121,0,4,1,4,7,9
2021R802,2021,2017651121,0,3,0,4,7,7
2021R1003,2021,2020653600,1,4,4,7,7,16
2021R1106,2021,2020653600,2,2,5,5,7,14
2021R1402,2021,2020653600,5,4,5,10,7,24
2021R1504,2021,2017651121,0,4,0,5,7,9
2021R1601,2021,2017651121,0,7,2,8,7,17
2021R1706,2021,2017651121,0,2,0,6,7,8
2021R1804,2021,2017651121,0,2,0,1,7,3
2021R2005,2021,2017651121,1,2,1,5,7,9
2021R2303,2021,2017651121,0,6,1,10,7,17
2021R309,2021,2019659412,2,1,2,8,8,13
2021R408,2021,2019659412,2,2,3,10,8,17
2021R509,2021,2019659412,4,1,2,7,8,14
2021R602,2021,2019659412,3,2,1,8,8,14
2021R705,2021,2019659412,4,1,2,10,8,17
2021R801,2021,2019659412,2,1,0,6,8,9
2021R901,2021,2019659412,3,1,2,9,8,15
2021R1301,2021,2019659412,0,3,0,3,8,6
2021R1401,2021,2019659412,2,1,0,6,8,9
2021R1908,2021,2019659412,1,2,0,4,8,7
2021R2003,2021,2014668825,2,2,0,3,8,7
2021R2101,2021,2014668825,4,2,1,7,8,14
2021R2204,2021,2014668825,1,0,1,4,8,6
2021R2305,2021,2019659412,3,1,1,5,8,10
2021QF01,2021,2019659412,1,0,1,5,8,7
2021SF01,2021,2019659412,2,0,0,5,8,7
2021PF01,2021,2019659412,1,5,2,5,8,13
2021R108,2021,2020651147,5,5,0,7,9,17
2021R308,2021,2020651147,5,2,1,5,9,13
2021R504,2021,2020651147,7,0,0,2,9,9
2021R601,2021,2020651147,7,0,1,4,9,12
2021R905,2021,2020651147,1,2,2,6,9,11
2021R1007,2021,2020651147,3,0,1,2,9,6
2021R1305,2021,2020651147,4,1,0,0,9,5
2021R1507,2021,2020651147,0,0,0,0,9,0
2021R1603,2021,2020651147,2,3,0,2,9,7
2021R1809,2021,2021661243,0,4,1,4,9,9
2021R2009,2021,2020651147,1,0,1,8,9,10
2021R2201,2021,2020651147,1,2,1,4,9,8
2021EF01,2021,2020651147,0,3,3,7,9,13
2021R207,2021,2011663064,0,2,1,7,10,10
2021R508,2021,2011663064,0,4,3,8,10,15
2021R704,2021,2011663064,0,1,0,8,10,9
2021R807,2021,2011663064,1,5,2,5,10,13
2021R903,2021,2011663064,1,1,0,9,10,11
2021R1302,2021,2011663064,0,2,0,5,10,7
2021R1606,2021,2021668904,1,2,0,3,10,6
2021R1805,2021,2021668904,4,2,2,5,10,13
2021R2202,2021,2021668904,3,5,0,3,10,11
2021R2302,2021,2021668904,3,4,0,3,10,10
2021R205,2021,2019665482,0,0,0,0,11,0
2021R605,2021,2015665345,3,3,2,8,11,16
2021R707,2021,2019665482,1,6,2,3,11,12
2021R805,2021,2015665345,1,0,2,9,11,12
2021R1101,2021,2015665345,1,3,0,4,11,8
2021R1701,2021,2015665345,4,1,3,10,11,18
2021R1905,2021,2015665345,0,2,1,8,11,11
2021R2109,2021,2021666343,2,2,3,10,11,17
2021GF01,2021,2021666343,3,3,0,3,11,9
2021R107,2021,2011656008,2,4,1,6,12,13
2021R302,2021,2013651330,0,4,0,3,12,7
2021R1104,2021,2011656008,4,3,0,6,12,13
2021R1609,2021,2011656008,3,0,0,1,12,4
2021R1709,2021,2011656008,3,0,0,1,12,4
2021R2103,2021,2013651330,0,5,8,11,12,24
2021R2206,2021,2013651330,1,2,3,9,12,15
2021R306,2021,2016655002,3,0,0,8,13,11
2021R402,2021,2016655002,8,2,1,8,13,19
2021R609,2021,2016655002,5,0,0,5,13,10
2021R906,2021,2016655002,4,0,0,6,13,10
2021R1505,2021,2016655002,1,0,0,4,13,5
2021R1803,2021,2016655002,2,1,0,5,13,8
2021R2301,2021,2016655002,4,1,0,5,13,10
2021PF02,2021,2016655002,3,1,1,7,13,12
2021R304,2021,2020654979,1,0,0,5,14,6
2021R501,2021,2020654979,0,4,0,9,14,13
2021R701,2021,2020654979,0,2,1,6,14,9
2021R1306,2021,2020654979,1,1,0,4,14,6
2021R1502,2021,2020654979,0,1,0,7,14,8
2021R404,2021,2017662715,1,0,0,6,15,7
2021R1005,2021,2017662715,2,4,0,2,15,8
2021R1202,2021,2017662715,0,0,0,5,15,5
2021R1904,2021,2014668660,0,2,0,3,15,5
2021R2105,2021,2017669102,0,5,0,2,15,7
2021R1607,2021,2020651689,1,3,2,12,16,18
2021R1707,2021,2020651689,0,1,0,3,16,4
2021R208,2021,2015654090,0,0,0,0,17,0
2021R1508,2021,2018659713,0,1,0,3,17,4
2020R104,2020,2015652891,2,1,0,8,1,11
2020R205,2020,2015652891,1,4,1,4,1,10
2020R307,2020,2015652891,0,0,0,1,1,1
2020R407,2020,2012662083,8,0,0,4,1,12
2020R507,2020,2012662083,2,1,0,1,1,4
2020R604,2020,2012662083,4,0,0,3,1,7
2020R709,2020,2012662083,2,0,0,2,1,4
2020R806,2020,2012662083,4,0,1,4,1,9
2020R905,2020,2015652891,0,1,0,3,1,4
2020R1004,2020,2012662083,7,3,1,8,1,19
2020R1107,2020,2012662083,2,0,0,5,1,7
2020R1206,2020,2012662083,7,0,0,1,1,8
2020R1306,2020,2012662083,3,0,0,1,1,4
2020R1501,2020,2012662083,4,0,0,4,1,8
2020R1606,2020,2012662083,2,1,2,7,1,12
2020R1706,2020,2012662083,3,3,0,6,1,12
2020R1804,2020,2012662083,3,1,0,2,1,6
2020R108,2020,2016652575,2,0,1,4,2,7
2020R203,2020,2016654616,1,2,1,2,2,6
2020R306,2020,2016654616,2,1,0,5,2,8
2020R506,2020,2016654616,0,1,0,4,2,5
2020R601,2020,2016654616,1,3,2,6,2,12
2020R703,2020,2016654616,1,4,1,2,2,8
2020R808,2020,2016654616,2,2,1,4,2,9
2020R904,2020,2016654616,2,1,1,4,2,8
2020R1002,2020,2016654616,1,2,0,7,2,10
2020R1102,2020,2016654616,0,2,0,4,2,6
2020R1203,2020,2016654616,0,2,1,5,2,8
2020R1307,2020,2016654616,2,3,1,7,2,13
2020R1506,2020,2016654616,1,1,0,7,2,9
2020R1608,2020,2016654616,5,2,0,3,2,10
2020R1708,2020,2016654616,1,4,2,5,2,12
2020R1805,2020,2016654616,5,1,0,4,2,10
2020QF02,2020,2016654616,2,2,0,5,2,9
2020PF02,2020,2016654616,5,0,0,1,2,6
2020R101,2020,2012674522,0,2,2,7,3,11
2020R204,2020,2005667052,0,1,1,4,3,6
2020R305,2020,2005667052,0,3,1,5,3,9
2020R405,2020,2005667052,0,4,0,2,3,6
2020R501,2020,2005667052,0,1,0,3,3,4
2020R609,2020,2005667052,0,4,0,6,3,10
2020R706,2020,2005667052,0,3,0,3,3,6
2020R803,2020,2005667052,0,1,0,4,3,5
2020R903,2020,2005667052,0,4,1,3,3,8
2020R1103,2020,2005667052,1,1,1,8,3,11
2020R1205,2020,2005667052,0,0,0,5,3,5
2020R1301,2020,2005667052,0,3,2,8,3,13
2020R1407,2020,2005667052,0,2,0,5,3,7
2020R1505,2020,2005667052,0,3,0,4,3,7
2020R1607,2020,2012674522,0,4,4,9,3,17
2020R102,2020,2012656391,1,2,12,14,4,29
2020R201,2020,2012656391,0,4,8,11,4,23
2020R304,2020,2012656391,0,4,6,12,4,22
2020R402,2020,2012656391,0,5,4,6,4,15
2020R502,2020,2012656391,1,4,4,6,4,15
2020R602,2020,2012656391,0,3,2,8,4,13
2020R701,2020,2012656391,1,3,5,13,4,22
2020R807,2020,2012656391,0,3,5,10,4,18
2020R909,2020,2012656391,0,2,7,10,4,19
2020R1005,2020,2012656391,3,2,3,13,4,21
2020R1204,2020,2012656391,3,4,5,13,4,25
2020R1309,2020,2012656391,0,4,5,11,4,20
2020R1709,2020,2012656391,0,4,2,5,4,11
