year,player_id,rebounds,inside_50s,clearances,contested_possessions,team_id
2021,2021661124,0,2,3,4,1
2021,2021661124,0,0,2,5,1
2021,2021661124,0,1,1,6,1
2021,2021661124,2,2,0,3,1
2021,2021661124,0,2,4,7,1
2021,2012662083,2,1,0,1,1
2021,2021661124,0,3,0,6,1
2021,2021661124,0,2,1,6,1
2021,2021661124,0,3,0,6,1
2021,2021661124,0,2,0,8,1
2021,2021661124,0,0,1,4,1
2021,2020665315,1,1,0,6,1
2021,2021661124,0,1,1,8,1
2021,2021661124,0,1,0,2,1
2021,2021661124,0,0,1,10,1
2021,2021661124,1,1,0,3,1
2021,2021661124,0,2,0,2,1
2021,2021661124,0,2,0,3,1
2021,2021661124,0,4,3,6,1
2021,2020665315,3,2,0,9,1
2021,2020665315,1,0,0,5,1
2021,2020665315,2,1,0,2,1
2021,2016654616,1,2,0,8,2
2021,2016654616,1,2,0,2,2
2021,2016652575,3,0,0,6,2
2021,2016652575,5,1,0,10,2
2021,2016652575,3,4,0,8,2
2021,2016652575,7,1,1,6,2
2021,2016652575,3,1,0,5,2
2021,2016652575,3,0,0,5,2
2021,2016652575,3,1,0,8,2
2021,2016652575,3,1,0,6,2
2021,2016652575,1,0,0,8,2
2021,2016652575,4,0,0,5,2
2021,2016652575,4,2,0,8,2
2021,2016652575,3,1,0,5,2
2021,2016652575,5,2,0,6,2
2021,2015656514,3,0,0,7,2
2021,2016654616,0,0,0,4,2
2021,2016654616,1,1,1,4,2
2021,2016654616,0,3,1,5,2
2021,2016654616,1,3,1,9,2
2021,2016652575,4,2,0,5,2
2021,2016652575,1,1,0,3,2
2021,2016652575,3,2,0,0,2
2021,2012674522,0,0,1,5,3
2021,2012674522,0,3,1,2,3
2021,2005667052,0,0,0,2,3
2021,2005667052,0,1,0,5,3
2021,2005667052,1,2,2,9,3
2021,2005667052,0,3,1,5,3
2021,2005667052,1,0,1,8,3
2021,2005667052,0,1,1,4,3
2021,2005667052,1,3,1,5,3
2021,2005667052,1,1,1,6,3
2021,2005667052,0,1,0,5,3
2021,2005667052,1,2,0,2,3
2021,2005667052,0,1,3,5,3
2021,2005667052,0,4,0,4,3
2021,2005667052,0,0,0,5,3
