team,ask_as,city,stadiums
Adelaide,Adelaide Crows,Adelaide,Adelaide Oval
Brisbane Lions,Brisbane Lions,Brisbane,Gabba
Carlton,Carlton,Melbourne,Marvel Stadium
Collingwood,Collingwood,Melbourne,M.C.G.
Essendon,Essendon,Melbourne,Marvel Stadium
Fremantle,Fremantle,Perth,Optus Stadium
Geelong,Geelong Cats,Geelong,GMHBA Stadium
Gold Coast,Gold Coast Suns,Gold Coast,Metricon Stadium
Greater Western Sydney,GWS Giants,Sydney,"Giants Stadium, Manuka Oval"
Hawthorn,Hawthorn,Melbourne,"M.C.G., UTAS Stadium"
Melbourne,Melbourne,Melbourne,M.C.G.
North Melbourne,North Melbourne,Melbourne,"Marvel Stadium, Blundstone Arena"
Port Adelaide,Port Adelaide,Adelaide,Adelaide Oval
Richmond,Richmond,Melbourne,M.C.G.
St Kilda,St Kilda,Melbourne,Marvel Stadium
Sydney,Sydney Swans,Sydney,S.C.G.
West Coast,West Coast Eagles,Perth,Optus Stadium
Western Bulldogs,Western Bulldogs,Melbourne,Marvel Stadium
