gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021SF02,2021,SF,4-Sep-21,Gabba,7:20 PM,30647,Brisbane Lions,78,Western Bulldogs,79,2.2
2021SF01,2021,SF,3-Sep-21,Perth Stadium,5:50 PM,44091,Geelong,103,Greater Western Sydney,68,4.6
2021R909,2021,R9,16-May-21,Perth Stadium,2:40 PM,43427,West Coast,106,Adelaide,76,0
2021R908,2021,R9,16-May-21,M.C.G.,3:20 PM,38581,Melbourne,94,Carlton,68,0.1
2021R907,2021,R9,16-May-21,Docklands,1:10 PM,26357,Essendon,68,Fremantle,61,0.1
2021R906,2021,R9,15-May-21,Adelaide Oval,7:10 PM,32787,Port Adelaide,77,Western Bulldogs,96,3.4
2021R905,2021,R9,15-May-21,Docklands,7:25 PM,18798,Richmond,87,Greater Western Sydney,83,8.4
2021R904,2021,R9,15-May-21,Carrara,4:35 PM,12636,Gold Coast,51,Brisbane Lions,124,0
2021R903,2021,R9,15-May-21,York Park,2:10 PM,9121,Hawthorn,80,North Melbourne,87,0
2021R902,2021,R9,15-May-21,S.C.G.,1:45 PM,31448,Sydney,72,Collingwood,42,0
2021R901,2021,R9,14-May-21,Docklands,7:50 PM,26712,St Kilda,47,Geelong,68,4.2
2021R809,2021,R8,9-May-21,Gabba,4:40 PM,15403,Brisbane Lions,95,Fremantle,71,0
2021R808,2021,R8,9-May-21,Docklands,3:20 PM,27663,Western Bulldogs,107,Carlton,91,0.6
2021R807,2021,R8,9-May-21,M.C.G.,1:10 PM,15277,Hawthorn,60,West Coast,98,0.6
2021R806,2021,R8,8-May-21,Adelaide Oval,7:10 PM,43069,Port Adelaide,87,Adelaide,38,0
2021R805,2021,R8,8-May-21,M.C.G.,7:25 PM,35567,Melbourne,67,Sydney,58,0
2021R804,2021,R8,8-May-21,Docklands,4:35 PM,22329,North Melbourne,76,Collingwood,94,0
2021R803,2021,R8,8-May-21,Sydney Showground,2:10 PM,8526,Greater Western Sydney,107,Essendon,105,1.4
2021R802,2021,R8,8-May-21,Carrara,1:45 PM,9271,Gold Coast,54,St Kilda,63,0
2021R801,2021,R8,7-May-21,M.C.G.,7:50 PM,54857,Richmond,63,Geelong,126,0
2021R709,2021,R7,2-May-21,Perth Stadium,2:40 PM,0,West Coast,132,Fremantle,73,0
2021R708,2021,R7,2-May-21,M.C.G.,3:20 PM,57447,Essendon,107,Carlton,123,0
2021R707,2021,R7,2-May-21,Bellerive Oval,1:10 PM,6009,North Melbourne,73,Melbourne,103,
2021R706,2021,R7,1-May-21,Gabba,7:25 PM,20007,Brisbane Lions,93,Port Adelaide,44,6.2
2021R705,2021,R7,1-May-21,S.C.G.,7:25 PM,29123,Sydney,90,Geelong,88,0
2021R704,2021,R7,1-May-21,Docklands,4:35 PM,26433,St Kilda,128,Hawthorn,59,0
2021R703,2021,R7,1-May-21,Adelaide Oval,1:40 PM,28853,Adelaide,39,Greater Western Sydney,106,0
2021R702,2021,R7,1-May-21,M.C.G.,1:45 PM,24397,Collingwood,55,Gold Coast,79,0
2021R701,2021,R7,30-Apr-21,M.C.G.,7:50 PM,52402,Richmond,77,Western Bulldogs,55,0
2021R609,2021,R6,25-Apr-21,Adelaide Oval,6:10 PM,33125,Port Adelaide,93,St Kilda,39,0
2021R608,2021,R6,25-Apr-21,M.C.G.,3:20 PM,78113,Collingwood,85,Essendon,109,2.8
2021R607,2021,R6,25-Apr-21,York Park,12:30 PM,9007,Hawthorn,102,Adelaide,99,0
